AdmissionsRecord_ID,Region_ID,MonthYear,NumPatientAdmissions aged <18,NumPatientAdmissions aged >= 18,Total Admissions,Air Quality Index
10117,1,2017-01-01,0,0,0,5
10217,1,2017-02-01,0,0,0,4
10317,1,2017-03-01,0,0,0,3
10417,1,2017-04-01,520,7935,8455,4
10517,1,2017-05-01,635,9005,9640,4
10617,1,2017-06-01,595,8770,9365,3
10717,1,2017-07-01,555,8765,9320,3
10817,1,2017-08-01,470,8650,9120,3
10917,1,2017-09-01,615,8580,9195,3
11017,1,2017-10-01,555,9150,9705,3
11117,1,2017-11-01,625,9140,9765,4
11217,1,2017-12-01,555,8130,8685,5
10118,1,2018-01-01,565,9085,9650,3
10218,1,2018-02-01,480,8115,8595,5
10318,1,2018-03-01,525,8440,8965,3
10418,1,2018-04-01,535,8465,9000,4
10518,1,2018-05-01,515,9275,9790,5
10618,1,2018-06-01,505,8765,9270,5
10718,1,2018-07-01,465,9140,9605,4
10818,1,2018-08-01,435,9010,9445,3
10918,1,2018-09-01,565,8835,9400,3
11018,1,2018-10-01,560,9915,10475,3
11118,1,2018-11-01,575,9505,10080,3
11218,1,2018-12-01,480,8780,9260,3
20117,2,2017-01-01,0,0,0,10
20217,2,2017-02-01,0,0,0,8
20317,2,2017-03-01,0,0,0,4
20417,2,2017-04-01,755,10040,10795,4
20517,2,2017-05-01,885,11170,12055,4
20617,2,2017-06-01,730,11240,11970,6
20717,2,2017-07-01,775,10950,11725,4
20817,2,2017-08-01,720,11115,11835,4
20917,2,2017-09-01,935,11060,11995,4
21017,2,2017-10-01,900,11635,12535,3
21117,2,2017-11-01,990,11760,12750,3
21217,2,2017-12-01,785,10565,11350,4
20118,2,2018-01-01,865,11740,12605,3
20218,2,2018-02-01,755,10490,11245,5
20318,2,2018-03-01,860,11580,12440,10
20418,2,2018-04-01,745,11380,12125,5
20518,2,2018-05-01,815,11975,12790,6
20618,2,2018-06-01,820,11920,12740,5
20718,2,2018-07-01,805,12240,13045,8
20818,2,2018-08-01,710,11840,12550,5
20918,2,2018-09-01,940,11320,12260,4
21018,2,2018-10-01,940,12710,13650,4
21118,2,2018-11-01,1025,12570,13595,5
21218,2,2018-12-01,775,11350,12125,4
30117,3,2017-01-01,0,0,0,10
30217,3,2017-02-01,0,0,0,6
30317,3,2017-03-01,0,0,0,5
30417,3,2017-04-01,1105,11075,12180,4
30517,3,2017-05-01,1465,12235,13700,4
30617,3,2017-06-01,1175,12090,13265,7
30717,3,2017-07-01,1300,11850,13150,5
30817,3,2017-08-01,1035,12195,13230,4
30917,3,2017-09-01,1470,12020,13490,5
31017,3,2017-10-01,1310,12610,13920,4
31117,3,2017-11-01,1440,12850,14290,4
31217,3,2017-12-01,1230,11565,12795,4
30118,3,2018-01-01,1365,13080,14445,4
30218,3,2018-02-01,1260,12015,13275,4
30318,3,2018-03-01,1410,12755,14165,9
30418,3,2018-04-01,1240,12860,14100,5
30518,3,2018-05-01,1435,13625,15060,5
30618,3,2018-06-01,1385,13115,14500,6
30718,3,2018-07-01,1355,13655,15010,6
30818,3,2018-08-01,1050,13055,14105,5
30918,3,2018-09-01,1575,12950,14525,4
31018,3,2018-10-01,1685,14265,15950,5
31118,3,2018-11-01,1600,14360,15960,5
31218,3,2018-12-01,1310,13490,14800,5
40117,4,2017-01-01,0,0,0,6
40217,4,2017-02-01,0,0,0,5
40317,4,2017-03-01,0,0,0,6
40417,4,2017-04-01,320,4500,4820,4
40517,4,2017-05-01,440,4970,5410,4
40617,4,2017-06-01,450,5195,5645,3
40717,4,2017-07-01,400,5025,5425,3
40817,4,2017-08-01,290,5055,5345,3
40917,4,2017-09-01,485,4990,5475,4
41017,4,2017-10-01,355,5185,5540,3
41117,4,2017-11-01,455,5325,5780,2
41217,4,2017-12-01,330,4740,5070,3
40118,4,2018-01-01,355,5400,5755,4
40218,4,2018-02-01,340,4890,5230,3
40318,4,2018-03-01,405,5490,5895,5
40418,4,2018-04-01,325,5105,5430,4
40518,4,2018-05-01,395,5415,5810,5
40618,4,2018-06-01,340,5205,5545,4
40718,4,2018-07-01,365,5750,6115,4
40818,4,2018-08-01,310,5380,5690,3
40918,4,2018-09-01,480,5255,5735,3
41018,4,2018-10-01,410,5860,6270,3
41118,4,2018-11-01,420,5790,6210,10
41218,4,2018-12-01,405,5175,5580,4
50117,5,2017-01-01,0,0,0,6
50217,5,2017-02-01,0,0,0,6
50317,5,2017-03-01,0,0,0,5
50417,5,2017-04-01,1345,13185,14530,4
50517,5,2017-05-01,1540,14760,16300,5
50617,5,2017-06-01,1425,14920,16345,5
50717,5,2017-07-01,1490,14960,16450,3
50817,5,2017-08-01,1205,14705,15910,3
50917,5,2017-09-01,1820,14885,16705,3
51017,5,2017-10-01,1725,15750,17475,3
51117,5,2017-11-01,1750,15635,17385,4
51217,5,2017-12-01,1475,13865,15340,4
50118,5,2018-01-01,1500,15240,16740,3
50218,5,2018-02-01,1350,14040,15390,3
50318,5,2018-03-01,1570,14925,16495,5
50418,5,2018-04-01,1350,14735,16085,4
50518,5,2018-05-01,1475,15815,17290,6
50618,5,2018-06-01,1455,15610,17065,8
50718,5,2018-07-01,1465,15815,17280,5
50818,5,2018-08-01,1225,15765,16990,3
50918,5,2018-09-01,1835,15200,17035,3
51018,5,2018-10-01,1675,16385,18060,3
51118,5,2018-11-01,1675,16260,17935,7
51218,5,2018-12-01,1455,14530,15985,3
60117,6,2017-01-01,0,0,0,10
60217,6,2017-02-01,0,0,0,6
60317,6,2017-03-01,0,0,0,5
60417,6,2017-04-01,1055,12615,13670,4
60517,6,2017-05-01,1260,14205,15465,5
60617,6,2017-06-01,1055,14245,15300,7
60717,6,2017-07-01,1090,13820,14910,5
60817,6,2017-08-01,915,13990,14905,5
60917,6,2017-09-01,1265,13730,14995,4
61017,6,2017-10-01,1185,14685,15870,3
61117,6,2017-11-01,1245,14590,15835,6
61217,6,2017-12-01,1030,13190,14220,4
60118,6,2018-01-01,1115,14510,15625,3
60218,6,2018-02-01,1020,13330,14350,5
60318,6,2018-03-01,1095,14445,15540,8
60418,6,2018-04-01,1000,14325,15325,8
60518,6,2018-05-01,1065,15295,16360,6
60618,6,2018-06-01,1020,15035,16055,6
60718,6,2018-07-01,1095,15365,16460,7
60818,6,2018-08-01,870,14985,15855,5
60918,6,2018-09-01,1200,14825,16025,5
61018,6,2018-10-01,1135,16175,17310,6
61118,6,2018-11-01,1240,15975,17215,4
61218,6,2018-12-01,1055,14160,15215,3
70117,7,2017-01-01,0,0,0,5
70217,7,2017-02-01,0,0,0,5
70317,7,2017-03-01,0,0,0,4
70417,7,2017-04-01,650,8770,9420,4
70517,7,2017-05-01,760,9455,10215,4
70617,7,2017-06-01,640,9515,10155,7
70717,7,2017-07-01,635,9385,10020,4
70817,7,2017-08-01,610,9395,10005,5
70917,7,2017-09-01,775,9450,10225,3
71017,7,2017-10-01,800,10010,10810,3
71117,7,2017-11-01,835,9840,10675,4
71217,7,2017-12-01,705,8930,9635,6
70118,7,2018-01-01,750,9990,10740,3
70218,7,2018-02-01,645,9250,9895,4
70318,7,2018-03-01,755,9590,10345,5
70418,7,2018-04-01,620,9630,10250,4
70518,7,2018-05-01,710,10305,11015,7
70618,7,2018-06-01,655,9995,10650,6
70718,7,2018-07-01,645,10300,10945,7
70818,7,2018-08-01,565,10130,10695,4
70918,7,2018-09-01,740,9595,10335,4
71018,7,2018-10-01,880,11225,12105,3
71118,7,2018-11-01,805,10540,11345,4
71218,7,2018-12-01,665,9645,10310,3
80117,8,2017-01-01,,,0,7
80217,8,2017-02-01,,,0,7
80317,8,2017-03-01,,,0,3
80417,8,2017-04-01,905,10230,11135,4
80517,8,2017-05-01,1070,11225,12295,4
80617,8,2017-06-01,920,11280,12200,5
80717,8,2017-07-01,955,10980,11935,4
80817,8,2017-08-01,750,11195,11945,4
80917,8,2017-09-01,1160,11060,12220,4
81017,8,2017-10-01,1005,11650,12655,3
81117,8,2017-11-01,1100,11420,12520,6
81217,8,2017-12-01,905,10305,11210,3
80118,8,2018-01-01,930,11815,12745,4
80218,8,2018-02-01,845,10770,11615,3
80318,8,2018-03-01,1010,11655,12665,8
80418,8,2018-04-01,870,11630,12500,4
80518,8,2018-05-01,1000,12550,13550,6
80618,8,2018-06-01,935,12170,13105,5
80718,8,2018-07-01,865,12665,13530,6
80818,8,2018-08-01,725,12835,13560,4
80918,8,2018-09-01,1190,12495,13685,3
81018,8,2018-10-01,1230,14010,15240,3
81118,8,2018-11-01,1130,13680,14810,5
81218,8,2018-12-01,1035,12580,13615,3
90117,9,2017-01-01,,,0,7
90217,9,2017-02-01,,,0,7
90317,9,2017-03-01,,,0,6
90417,9,2017-04-01,795,10065,10860,5
90517,9,2017-05-01,960,11360,12320,4
90617,9,2017-06-01,915,11395,12310,4
90717,9,2017-07-01,920,11065,11985,3
90817,9,2017-08-01,775,10915,11690,3
90917,9,2017-09-01,980,10720,11700,4
91017,9,2017-10-01,925,11405,12330,3
91117,9,2017-11-01,1035,11495,12530,4
91217,9,2017-12-01,870,10170,11040,6
90118,9,2018-01-01,885,11090,11975,3
90218,9,2018-02-01,825,9975,10800,3
90318,9,2018-03-01,785,10690,11475,7
90418,9,2018-04-01,760,10340,11100,6
90518,9,2018-05-01,860,11250,12110,6
90618,9,2018-06-01,815,10640,11455,5
90718,9,2018-07-01,820,11160,11980,6
90818,9,2018-08-01,705,10970,11675,3
90918,9,2018-09-01,955,10470,11425,4
91018,9,2018-10-01,950,11655,12605,4
91118,9,2018-11-01,900,11265,12165,10
91218,9,2018-12-01,785,10315,11100,3
110117,11,2017-01-01,0,0,0,9
110217,11,2017-02-01,0,0,0,4
110317,11,2017-03-01,0,0,0,3
110417,11,2017-04-01,0,0,0,3
110517,11,2017-05-01,0,15,15,4
110617,11,2017-06-01,0,10,10,3
110717,11,2017-07-01,0,20,20,4
110817,11,2017-08-01,0,0,0,4
110917,11,2017-09-01,0,10,10,3
111017,11,2017-10-01,0,0,0,3
111117,11,2017-11-01,0,0,0,5
111217,11,2017-12-01,0,0,0,3
110118,11,2018-01-01,0,15,15,6
110218,11,2018-02-01,0,0,0,4
110318,11,2018-03-01,0,0,0,3
110418,11,2018-04-01,0,0,0,4
110518,11,2018-05-01,0,20,20,5
110618,11,2018-06-01,0,10,10,7
110718,11,2018-07-01,0,10,10,4
110818,11,2018-08-01,0,10,10,3
110918,11,2018-09-01,0,0,0,3
111018,11,2018-10-01,0,10,10,3
111118,11,2018-11-01,0,15,15,4
111218,11,2018-12-01,0,0,0,4
120117,12,2017-01-01,0,0,0,5
120217,12,2017-02-01,0,0,0,4
120317,12,2017-03-01,0,0,0,3
120417,12,2017-04-01,0,45,45,4
120517,12,2017-05-01,0,45,45,4
120617,12,2017-06-01,0,35,35,3
120717,12,2017-07-01,10,70,80,3
120817,12,2017-08-01,0,45,45,3
120917,12,2017-09-01,0,45,45,3
121017,12,2017-10-01,0,50,50,3
121117,12,2017-11-01,0,30,30,4
121217,12,2017-12-01,0,40,40,5
120118,12,2018-01-01,0,40,40,3
120218,12,2018-02-01,0,25,25,5
120318,12,2018-03-01,0,30,30,3
120418,12,2018-04-01,0,35,35,4
120518,12,2018-05-01,0,40,40,5
120618,12,2018-06-01,0,30,30,5
120718,12,2018-07-01,10,50,60,4
120818,12,2018-08-01,0,50,50,3
120918,12,2018-09-01,0,30,30,3
121018,12,2018-10-01,0,35,35,3
121118,12,2018-11-01,0,25,25,3
121218,12,2018-12-01,0,25,25,3
130117,13,2017-01-01,0,0,0,3
130217,13,2017-02-01,0,0,0,3
130317,13,2017-03-01,0,0,0,3
130417,13,2017-04-01,30,330,360,3
130517,13,2017-05-01,40,365,405,4
130617,13,2017-06-01,40,370,410,5
130717,13,2017-07-01,45,360,405,4
130817,13,2017-08-01,30,360,390,3
130917,13,2017-09-01,35,365,400,3
131017,13,2017-10-01,35,380,415,3
131117,13,2017-11-01,25,350,375,3
131217,13,2017-12-01,20,325,345,3
130118,13,2018-01-01,35,335,370,3
130218,13,2018-02-01,35,330,365,3
130318,13,2018-03-01,25,380,405,3
130418,13,2018-04-01,45,340,385,4
130518,13,2018-05-01,40,395,435,5
130618,13,2018-06-01,40,395,435,6
130718,13,2018-07-01,30,410,440,6
130818,13,2018-08-01,40,410,450,4
130918,13,2018-09-01,40,400,440,3
131018,13,2018-10-01,45,395,440,3
131118,13,2018-11-01,35,450,485,4
131218,13,2018-12-01,35,400,435,3
